module,key,english,old_zh,translation
controlcore,controlcore.error.clientSocketHeaderLengthBad,Header length wrong expected 12 but received {0} bytes,Header length wrong expected 12 but received {0} bytes,標題長度錯誤預期12但收到{0}字節
controlcore,controlcore.error.clientSocketHeaderSignatureBad,Header signature incorrect,Header signature incorrect,標題簽名不正確
controlcore,controlcore.error.clientSocketPayloadBad,Message payload bad. Expected {0} but only received {1} bytes,Message payload bad. Expected {0} but only received {1} bytes,消息有效載荷不好。預期{0}，但僅收到{1}字節
controlcore,controlcore.error.invalidMessageType,Message type {0} is unknown,Message type {0} is unknown,消息類型{0}是未知的
controlcore,controlcore.error.portInUse,Serial Port {0} already in use,Serial Port {0} already in use,串行埠號{0}已經在使用
controlcore,controlcore.error.noSuchPort,Serial Port {0} does not exist,Serial Port {0} does not exist,串行埠號{0}不存在
controlcore,controlcore.error.invalidChecksum,Received invalid checksum on Serial Port,Received invalid checksum on Serial Port,在串行埠號上收到了無效的校驗和
controlcore,controlcore.error.modbusTimeout,Timeout waiting for Modbus response,Timeout waiting for Modbus response,逾時等待modbus響應
controlcore,controlcore.error.serverErrorDesc,Server Error,Server Error,伺服器錯誤
controlcore,controlcore.error.clientErrorDesc,Client Error,Client Error,客戶端端錯誤
controlcore,dox.controlcoreDS,Control Core Data Source Help,Control Core Data Source Help,控制核心資料來源幫助
controlcore,dox.controlcorePP,Control Core Data Point Help,Control Core Data Point Help,控制核心資料點幫助
dashboardDesigner,dashboardDesigner.description,Dashboard design tool,Dashboard design tool,儀表板設計工具
dashboardDesigner,dashboardDesigner.pointFromWatchList,Point from watchlist,Point from watchlist,監視列表的點
dashboardDesigner,dashboardDesigner.flexbox,Flexbox,Flexbox,Flexbox
dashboardDesigner,dashboardDesigner.watchListComponents,Watch lists,Watch lists,觀看列表
dashboardDesigner,dashboardDesigner.uiSref,Link to state,Link to state,鏈接到狀態
dataFile,datafile.description,Module to handle importing data files to existing Mango points,Module to handle importing data files to existing Mango points,將導入資料檔案處理到現有 Mango 點的模塊
dataFile,datafile.point.configuration,Mapping imports from {0} to {1},Mapping imports from {0} to {1},映射從{0}導入到{1}
dataFile,dsEdit.datafile,Data File,Data File,資料檔案
dataFile,dsEdit.datafilePoint,Data File point,Data File point,資料檔案點
dataFile,dsEdit.datafile.desc,Data File,Data File,資料檔案
dataFile,dsEdit.datafile.path,Path to data file or folder,Path to data file or folder,資料檔案或檔案夾的路徑
dataFile,dsEdit.datafile.connection,File: {0},File: {0},檔案：{0}
dataFile,dsEdit.datafile.check,Check,Check,檢查
dataFile,dsEdit.datafile.deleteAfterImport,Delete files after import,Delete files after import,導入後刪除檔案
dataFile,dsEdit.datafile.createPoints,Create Missing Points,Create Missing Points,建立缺失點
dataFile,dsEdit.datafile.importedPrefix,Renamed File Prefix,Renamed File Prefix,重命名的檔案前綴
dataFile,dsEdit.datafile.mappingPoint,Maps to external point,Maps to external point,地圖到外點
dataFile,dsEdit.datafile.fileType,File type,File type,檔案類型
dataFile,dsEdit.datafile.template,Template,Template,範本
dataFile,dsEdit.datafile.toXid,Import to point with XID,Import to point with XID,導入指向XID
dataFile,dsEdit.datafile.fromIdentifier,Identifier in import document,Identifier in import document,導入文檔中的標識符
dataFile,dsEdit.datafile.toPoint,Point to import values to,Point to import values to,指嚮導入值
dataFile,dsEdit.datafile.useCron,Use Cron Pattern,Use Cron Pattern,使用Cron模式
dataFile,dsEdit.datafile.xmlType,XML,XML,XML
dataFile,dsEdit.datafile.csvType,CSV,CSV,CSV
dataFile,dsEdit.datafile.excelType,Excel,Excel,Excel
dataFile,dsEdit.datafile.excelWorkbookType,Excel workbook,Excel workbook,Excel工作簿
dataFile,dsEdit.datafile.binaryType,Binary,Binary,二進制
dataFile,dsEdit.datafile.sortValues,Sort values,Sort values,排序值
dataFile,dsEdit.datafile.pollClass,Poll class,Poll class,輪詢類別
dataFile,dsEdit.datafile.pollArguments,Poll arguments,Poll arguments,輪詢參數
dataFile,dsEdit.datafile.additionalClasspath,Additional classpath,Additional classpath,附加的class路徑
dataFile,dsEdit.datafile.fileBelowFilesStoreRoot,File is below filestore root,File is below filestore root,檔案在filestore根下面
dataFile,dsEdit.datafile.tools,Data file tools,Data file tools,資料檔案工具
dataFile,dsEdit.datafile.uploadTemplate,Upload Template/Poll class,Upload Template/Poll class,上傳範本/輪詢類
dataFile,dsEdit.datafile.importSuccess,Import successful,Import successful,匯入成功
dataFile,dsEdit.datafile.filenameMatchRegex,Filename match regex,Filename match regex,檔案名符合正規表示式
dataFile,dsEdit.datafile.invalidRegex,Invalid regex: {0},Invalid regex: {0},無效的正直：{0}
dataFile,dsEdit.datafile.fileExists,File Exists,File Exists,檔案存在
dataFile,dsEdit.datafile.fileDoesNotExist,File Does Not Exist,File Does Not Exist,檔案不存在
dataFile,dsEdit.datafile.canRead,File can be read,File can be read,檔案可以讀取
dataFile,dsEdit.datafile.pathIsNotCanonical,Path is not canonical,Path is not canonical,路徑不是規範的
dataFile,dsEdit.datafile.cannotRead,File cannot be read or does not exist,File cannot be read or does not exist,檔案不能讀取或不存在
dataFile,dsEdit.datafile.compile,Compile new Templates,Compile new Templates,編譯新範本
dataFile,dsEdit.dataFile.compilerNotFound,Compiler not found. Are you running on a JRE?,Compiler not found. Are you running on a JRE?,找不到編譯器。您在JRE上執行嗎？
dataFile,dsEdit.datafile.importFile,Import data from file,Import data from file,從檔案導入資料
dataFile,datafile.event.fileNotFound,File not found,File not found,找不到檔案
dataFile,datafile.event.renameFailed,Rename Failure: {0},Rename Failure,重命名失敗：{0}
dataFile,datafile.event.cantCreate,Point with xid: {0} exists elsewhere,Point with xid:{0} exists elsewhere,指向XID：{0}存在於其他地方
dataFile,datafile.event.csvImportProblem,Error reading CSV,Error reading CSV,錯誤讀取CSV
dataFile,datafile.event.ioException,IOException: {0},IOException: {0},ioException：{0}
dataFile,datafile.event.jaxbException,JAXBException: {0},JAXBException: {0},jaxbexception：{0}
dataFile,datafile.event.instantiationException,Instantiation Exception: {0},Instantiation Exception: {0},實體化例外：{0}
dataFile,datafile.event.failedToFind,"Failed to find all expected points, specifically: {0}","Failed to find all expected points, specifically: {0}",未能找到所有預期點，具體：{0}
dataFile,datafile.event.loadPollClassFailed,Failed to load polling class with exception: {0},Failed to load polling class with exception: {0},無法載入輪詢類別，有例外：{0}
dataFile,datafile.event.pollClassEvent,Event from poll class: {0},Event from poll class: {0},輪詢類別：{0}
dataFile,datafile.event.importClassEvent,Event from import class: {0},Event from import class: {0},來自導入類別的事件：{0}
dataFile,datafile.event.classpathFailure,Failed loading classpath: {0},Failed loading classpath: {0},失敗載入類路徑：{0}
dataFile,datafile.event.invokedClass,Exception in invoked class,Exception in invoked class,被調用課的例外
dataFile,datafile.event.pointsMissing,Not all points found in file,Not all points found in file,並非所有點都在檔案中找到
dataFile,datafile.templateFileStore.description,Data file data source template filestore,Data file data source template filestore,資料檔案資料來源範本檔案
dataFile,datafile.templateFileStore.readPermission,Data file data source template filestore read permission,Data file data source template filestore read permission,資料檔案資料來源範本檔案錄製讀取權限
dataFile,datafile.templateFileStore.writePermission,Data file data source templates filestore read permission,Data file data source templates filestore read permission,資料檔案資料來源範本檔案錄製許可
dataFile,datafile.compiledTemplateFileStore.description,Data file data source compiled template filestore,Data file data source compiled template filestore,資料檔案資料來源編譯範本檔案
dataFile,datafile.compiledTemplateFileStore.readPermission,Data file data source compiled templates filestore read permission,Data file data source compiled templates filestore read permission,資料檔案資料來源編譯範本檔案讀取權限
dataFile,datafile.compiledTemplateFileStore.writePermission,Data file data source imported files filestore read permission,Data file data source imported files filestore read permission,資料檔案資料來源導入檔案filestore讀取權限
dataFile,datafile.dox.dataFileDS,Data File Data Source Properties,Data File Data Source Properties,資料檔案資料來源屬性
dataFile,datafile.dox.dataFilePP,Data File Point Properties,Data File Point Properties,資料檔案點屬性
dataFile,datafile.dox.xmlImporters,Creating XML Import Classes,Creating XML Import Classes,建立XML導入類別
dataFile,datafile.dox.csvImporters,Creating CSV Import Classes,Creating CSV Import Classes,建立CSV導入類別
dataFile,datafile.dox.excelImporters,Creating Excel Import Classes,Creating Excel Import Classes,建立 Excel 導入類別
dataFile,datafile.dox.binaryImporters,Creating Binary Import Classes,Creating Binary Import Classes,建立二進制導入類別
dataFile,datafile.dox.pollClass,Creating Poll Classes,Creating Poll Classes,建立輪詢類
dataFile,datafile.dox.rest,REST Permissions for Uploading and Processing Files,REST Permissions for Uploading and Processing Files,上傳和處理檔案的休息權限
dataFile,datafile.rest.permission,Data File Data Source REST file upload,Data File Data Source REST file upload,資料檔案資料來源上傳檔案上傳
dataFile,datafile.rest.noFileSelected,No file selected,No file selected,未選擇檔案
dataFile,datafile.rest.sourceNotRunning,Data source not running,Data source not running,資料來源未執行
dataFile,datafile.rest.fileSubmittedSuccessfully,File submitted successfully,File submitted successfully,檔案成功提交
dataFile,datafile.rest.fileSubmissionError,File submission returned error code:,File submission returned error code:,檔案提交返回錯誤代碼：
dataFile,datafile.rest.statusRedirectToMonitor,Redirecting to monitor... refresh monitor page for updates,Redirecting to monitor... refresh monitor page for updates,重定向到監視...更新監視頁面以取得更新
dataFile,datafile.rest.error.atLeastOneFileNeeded,At least one file is needed,At least one file is needed,至少需要一個檔案
dataFile,datafile.rest.error.badStructureOrType,Compiling grounds folder for type not found: {0},Compiling grounds folder for type not found: {0},編譯地面檔案夾的類型找不到：{0}
dataFile,datafile.rest.error.badTemplateFileType,Only .java files can be uploaded to uncompiled templates: {0},Only .java files can be uploaded to uncompiled templates: {0},只能將.ja​​va檔案上傳到未編譯的範本：{0}
dataFile,datafile.rest.error.emptyTemplateFileType,File {0} had no contents and was not uploaded,File {0} had no contents and was not uploaded,檔案{0}沒有內容，也沒有上傳
dataFile,datafile.rest.error.compileFailed,Compile failed: {0},Compile failed: {0},編譯失敗：{0}
dataFile,datafile.rest.error.compileSuccess,Compile success,Compile success,編譯成功
dataFile,datafile.rest.error.unknownClassType,Unknown superclass: {0},Unknown superclass: {0},未知超類：{0}
dataFile,datafile.rest.error.invalidCompiledTemplate,Compiled template {0} is invalid because {1},Compiled template {0} is invalid because {1},編譯範本{0}是無效的，因為{1}
dataFile,datafile.rest.error.noFileStoreReadPermission,No read permission for filestore {0},No read permission for filestore {0},未讀取檔案{0}
dataFile,datafile.rest.error.noFileStoreWritePermission,No write permission for filestore {0},No write permission for filestore {0},沒有寫入入filestore {0}
dataImport,dataImport.import.noPoints,No points in import file. The first line must contain point XIDs after the date label,No points in import file. The first line must contain point XIDs after the date label,導入檔案中沒有點。第一行必須包含日期標籤後的點XID
dataImport,dataImport.import.invalidHeaders,Number of headers is invalid. Expected {0} but read {1},Number of headers is invalid. Expected {0} but read {1},標題數無效。預期{0}，但讀取{1}
dataImport,dataImport.import.badXid,Invalid XID: {0} on row {1},Invalid XID: {0} on row {1},無效的XID：{0}在行{1}上
dataImport,dataImport.import.xidNotFound,Point with XID ''{0}'' from row {1} not found,Point with XID ''{0}'' from row {1} not found,從行{1}找不到XID''{0}''
dataImport,dataImport.import.imported,Import succeeded. {0} row(s) processed.,Import succeeded. {0} row(s) processed.,匯入成功。 {0}處理。
dataImport,dataImport.import.invalidLength,Row {0} has an invalid number of columns,Row {0} has an invalid number of columns,行{0}有無效的列數
dataPointDetailsView,datapointdetailsview.description,View for Data Point Details,View for Data Point Details,檢視資料點詳細資訊
dataPointDetailsView,datapointdetailsview.rollup.accumulator,Accumulator,Accumulator,累加器
dataPointDetailsView,datapointdetailsview.rollup.delta,Delta,Delta,三角洲
dataPointDetailsView,datapointdetailsview.rollup.sum,Sum,Sum,和
dataPointDetailsView,datapointdetailsview.rollup.integral,Integral,Integral,不可缺少的
dataPointDetailsView,datapointdetailsview.graphType.step,Step,Step,步
dataPointDetailsView,datapointdetailsview.graphType.line,Line,Line,線
dataPointDetailsView,datapointdetailsview.graphType.smoothedLine,Smoothed line,Smoothed line,平滑線
dataPointDetailsView,datapointdetailsview.graphType.column,Bar,Bar,酒吧
dataPointDetailsView,datapointdetailsview.graphType.accumulator,Accumulator,Accumulator,累加器
dataPointDetailsView,datapointdetailsview.history.useInHistory,Use these settings in the history table,Use these settings in the history table,在歷史表中使用這些設定
dataPointDetailsView,datapointdetailsview.history.realtime,Real-time history,Real-time history,實時歷史
dataPointDetailsView,datapointdetailsview.history.history,History,History,歷史
dataPointDetailsView,datapointdetailsview.history.noDataFound,No data found,No data found,找不到資料
dataPointDetailsView,datapointdetailsview.validate.incorrectFormat,Incorrect format for this point,Incorrect format for this point,這一點的格式不正確
dataPointDetailsView,datapointdetailsview.searchPointsBy,Search by,Search by,搜尋
dataPointDetailsView,datapointdetailsview.error.tooManyPointValuesToChart,Cannot chart {0} point values. Limit is {1}. Use Rollup or Export data.,Cannot chart {0} point values. Limit is {1}. Use Rollup or Export data.,無法圖表{0}點值。限制為{1}。使用匯總或導出資料。
dataPointDetailsView,datapointdetailsview.error.errorSavingPoint,Error saving point value: '{0}' {1}.,Error saving point value: '{0}' {1}.,錯誤保存點值：'{0}'{1}。
dataPointDetailsView,datapointdetailsview.error.errorSavingNote,Error saving note: '{0}',Error saving note: '{0}',錯誤保存注意：'{0}'
dataPointDetailsView,datapointdetailsview.error.noData,No data for range,No data for range,沒有範圍的資料
dataPointDetailsView,datapointdetailsview.error.requestFailed,Request failed: {0},Request failed: {0},請求失敗：{0}
dataPointDetailsView,datapointdetailsview.error.errorLoadingData,There was an error loading the data: {0},There was an error loading the data: {0},載入資料有一個錯誤：{0}
dataPointDetailsView,datapointdetailsview.notes.noteTitle,{0} by {1},{0} by {1},{0}由{1}
dataPointDetailsView,datapointdetailsview.notes.enterANote,Enter a note,Enter a note,輸入註釋
dataPointDetailsView,datapointdetailsview.notes.noNotes,No notes found,No notes found,找不到筆記
dataPointDetailsView,datapointdetailsview.stats.startsAndRuntimes,Summary,Summary,概括
dataPointDetailsView,datapointdetailsview.stats.proportion,Proportion,Proportion,部分
dataPointDetailsView,datapointdetailsview.permissions,Data Point Details View Permissions,Data Point Details View Permissions,資料點詳細資訊檢視權限
deviceConfig,deviceConfig.description,Device config and templating,Device config and templating,設備配置和範本
deviceConfig,deviceConfig.voltagePrimary,Voltage primary,Voltage primary,電壓初級
deviceConfig,deviceConfig.voltageSecondary,Voltage secondary,Voltage secondary,電壓次級
deviceConfig,deviceConfig.currentPrimary,Current primary,Current primary,當前主要
deviceConfig,deviceConfig.currentSecondary,Current secondary,Current secondary,當前次要
deviceConfig,deviceConfig.enerPowDivider,Energy/power divider,Energy/power divider,能量/功率分隔器
deviceConfig,deviceConfig.connectionParameters,Connection parameters,Connection parameters,連接參數
deviceConfig,deviceConfig.useExistingDatasource,Use an existing datasource,Use an existing datasource,使用現有資料來源
deviceConfig,deviceConfig.deviceId,Device ID,Device ID,設備ID
deviceConfig,deviceConfig.slaveId,Slave #{0},Slave #{0},從＃{0}
deviceConfig,deviceConfig.hwRevision,Hardware revision,Hardware revision,硬體修訂
deviceConfig,deviceConfig.wye,WYE,WYE,懷
deviceConfig,deviceConfig.delta,Delta,Delta,三角洲
deviceConfig,deviceConfig.singlePhase,Single phase,Single phase,單相
deviceConfig,deviceConfig.lineFrequency,Line frequency,Line frequency,線頻率
deviceConfig,deviceConfig.dataScalar,Data scalar,Data scalar,資料標量
deviceConfig,deviceConfig.ctAmpsMultiplier,CT{0} Amps Multiplier,CT{0} Amps Multiplier,CT {0} AMPS乘數
dnp3,dnp3.description,DNP3 data source,DNP3 data source,DNP3資料來源
dnp3,dsEdit.dnp3Ip,DNP3 IP,DNP3 IP,DNP3 IP
dnp3,dsEdit.dnp3IpPoint,DNP3 IP Data Point,DNP3 IP Data Point,DNP3 IP資料點
dnp3,dsEdit.dnp3Serial,DNP3 Serial,DNP3 Serial,DNP3系列
dnp3,dsEdit.dnp3SerialPoint,DNP3 Serial Data Point,DNP3 Serial Data Point,DNP3序列資料點
dnp3,dsEdit.dnp3.descIp,DNP3 IP Properties,DNP3 IP Properties,DNP3 IP屬性
dnp3,dsEdit.dnp3.descSerial,DNP3 Serial Properties,DNP3 Serial Properties,DNP3串行屬性
dnp3,dsEdit.dnp3.synchPeriods,Relative static data poll ratio,Relative static data poll ratio,相對靜態資料輪詢比
dnp3,dsEdit.dnp3.scanEventsOnSync,Scan all classes on static data poll,Scan all classes on static data poll,掃描靜態資料輪詢的所有課程
dnp3,dsEdit.dnp3.timeout,Timeout (ms),Timeout (ms),逾時（MS）
dnp3,dsEdit.dnp3.retries,Retries,Retries,重試
dnp3,dsEdit.dnp3.sourceAddress,Source address,Source address,源地址
dnp3,dsEdit.dnp3.slaveAddress,Slave Address,Slave Address,從地址
dnp3,dsEdit.dnp3Ip.host,Host,Host,主機
dnp3,dsEdit.dnp3Ip.port,Port,Port,埠號
dnp3,dsEdit.dnp3Serial.baud,Baud rate,Baud rate,波特率
dnp3,dsEdit.dnp3Serial.commPortId,Port,Port,埠號
dnp3,dsEdit.dnp3.index,Index,Index,指數
dnp3,dsEdit.dnp3.dataType,Data Type,Data Type,資料類型
dnp3,dsEdit.dnp3.binaryInput,Binary Input,Binary Input,二進制輸入
dnp3,dsEdit.dnp3.binaryOutput,Binary Output,Binary Output,二進制輸出
dnp3,dsEdit.dnp3.analogInput,Analog Input,Analog Input,類比輸入
dnp3,dsEdit.dnp3.analogOutput,Analog Output,Analog Output,類比輸出
dnp3,dsEdit.dnp3.runningCounter,Counter,Counter,櫃檯
dnp3,dsEdit.dnp3.addMany,Add multiple data points,Add multiple data points,新增多個資料點
dnp3,dsEdit.dnp3.minIndex,Min index,Min index,最小索引
dnp3,dsEdit.dnp3.maxIndex,Max index ,Max index ,最大索引
dnp3,dsEdit.dnp3.operateMode,Operation Mode,Operation Mode,操作模式
dnp3,dsEdit.dnp3.controlCommand,Control command,Control command,控制命令
dnp3,dsEdit.dnp3.timeOn,ON time,ON time,準時
dnp3,dsEdit.dnp3.timeOff,OFF time,OFF time,OFF time
dnp3,dsEdit.dnp3.validate.indexUsed,This dnp3 group and index already in use,Index already in use,此DNP3組和索引已經在使用
dnp3,dsEdit.dnp3.validate.mustReadOneClass,Must read at least one class of data,Must read at least one class of data,必須至少讀取一類資料
dnp3,dsEdit.dnp3.sbo,Select Before Operate,SBO,SBO
dnp3,dsEdit.dnp3.direct,Direct Operate,Direct,Direct
dnp3,dsEdit.dnp3.directNoAck,Direct Operate No Ack,Direct No Ack,Direct No Ack
dnp3,dsEdit.dnp3.closeTrip,Close/Trip,Close Trip,Close Trip
dnp3,dsEdit.dnp3.pulse,Pulse ON/OFF,Pulse,Pulse
dnp3,dsEdit.dnp3.latch,Latch ON/OFF,Latch,Latch
dnp3,dsEdit.dnp3.dataClass,Data class,Data class,Data class
dnp3,dsEdit.dnp3.dataClass0,Class 0,Class 0,Class 0
dnp3,dsEdit.dnp3.dataClass1,Class 1,Class 1,Class 1
dnp3,dsEdit.dnp3.dataClass2,Class 2,Class 2,Class 2
dnp3,dsEdit.dnp3.dataClass3,Class 3,Class 3,Class 3
dnp3,dsEdit.dnp3.analogOutputSetVariation,Set value format,Set value format,設定值格式
dnp3,dsEdit.dnp3.analogOutput32,32 bit integer,32 bit integer,32位整數
dnp3,dsEdit.dnp3.analogOutput16,16 bit integer,16 bit integer,16位整數
dnp3,dsEdit.dnp3.analogOutput32Float,32 bit floating point,32 bit floating point,32位浮點
dnp3,dsEdit.dnp3.analogOutput64Float,64 bit floating point,64 bit floating point,64位浮點
dnp3,dsEdit.dnp3.8bitIndex,8 bit index,8 bit index,8位索引
dnp3,dsEdit.dnp3.16bitIndex,16 bit index,16 bit index,16位索引
dnp3,dsEdit.dnp3.indexSize,Index address size,Index address size,索引地址大小
dnp3,dsEdit.dnp3.multiplier,Multiplier,Multiplier,乘數
dnp3,dsEdit.dnp3.additive,Additive,Additive,新增劑
dnp3,dsEdit.dnp3.multiplierOffsetCalculator,Multiplier and offset calculator,Multiplier and offset calculator,乘數和偏移計算器
dnp3,dsEdit.dnp3.sensorMin,Sensor minimum,Sensor minimum,傳感器最小值
dnp3,dsEdit.dnp3.sensorMax,Sensor maximum,Sensor maximum,傳感器最大
dnp3,dsEdit.dnp3.engineeringMin,Engineering minimum,Engineering minimum,工程最低
dnp3,dsEdit.dnp3.engineeringMax,Engineering maximum,Engineering maximum,工程最大
dnp3,dox.dnp3SerialDS,Data source DNP3 Serial,Data source DNP3 Serial,資料來源DNP3系列
dnp3,dox.dnp3IpDS,Data source DNP3 IP,Data source DNP3 IP,資料來源DNP3 IP
dnp3,dox.dnp3PP,DNP3 PP,DNP3 PP,dnp3 pp
dnp3,dsEdit.dnp3.bulkDataPointCreate,Bulk Data Point Create,Bulk Data Point Create,批量資料點建立
dnp3,dsEdit.dnp3.createDataPoints,Create data points,Create data points,建立資料點
dnp3,dsEdit.dnp3.minIndexMaxIndexError,'minIndex' must be less than 'maxIndex','minIndex' must be less than 'maxIndex',“ MinIndex”必須小於“ maxindex”
dnp3,dsEdit.dnp3Serial.dataBits,Data Bits,Data Bits,Data Bits
dnp3,dsEdit.dnp3Serial.stopBits,Stop Bits,Stop Bits,Stop Bits
dnp3,dsEdit.dnp3Serial.parity,Parity,Parity,Parity
dnp3,dsEdit.dnp3.invalidCommand,"Invalid DNP3 Write Command. Valid Commands: 1/0, true/false, pon/poff, lon/loff,close/trip","Invalid DNP3 Write Command. Valid Commands: 1/0, true/false, pon/poff, lon/loff,close/trip",無效的DNP3寫入命令。有效命令：1/0，True/fals，Pon/Poff，Lon/Loff，Close/Trip
dnp3,dsEdit.dnp3.internalIndication,Internal indication received,Internal indication received,內部指示收到
dnp3,dsEdit.dnp3.internalIndication.deviceTrouble,Device trouble received,Device trouble received,設備故障收到
dnp3,dsEdit.dnp3.internalIndication.codeNotSupported,Code not supported received,Code not supported received,不支持收到的代碼
dnp3,dsEdit.dnp3.internalIndication.objectUnknown,Object unknown received,Object unknown received,未知的對象收到
dnp3,dsEdit.dnp3.internalIndication.parameterError,Parameter error received,Parameter error received,收到的參數錯誤
dnp3,dsEdit.dnp3.internalIndication.eventBufferOverflow,Event buffer overflow received,Event buffer overflow received,事件緩衝區收到
dnp3,dsEdit.dnp3.internalIndication.configurationCorrupt,Configuration corrupt received,Configuration corrupt received,配置損壞收到
dnp3,dsEdit.dnp3.controlStatus.timeout,Timeout,Timeout,暫停
dnp3,dsEdit.dnp3.controlStatus.noSelect,Must select first,Must select first,必須首先選擇
dnp3,dsEdit.dnp3.controlStatus.formatError,Format error,Format error,格式錯誤
dnp3,dsEdit.dnp3.controlStatus.notSupported,Not supported,Not supported,不支持
dnp3,dsEdit.dnp3.controlStatus.alreadyActive,Already active,Already active,已經活躍了
dnp3,dsEdit.dnp3.controlStatus.hardwareError,Hardware control error,Hardware control error,硬體控制錯誤
dnp3,dsEdit.dnp3.controlStatus.local,Device in local mode,Device in local mode,設備處於本地模式
dnp3,dsEdit.dnp3.controlStatus.tooManyObjs,Too many objects in request,Too many objects in request,請求中的對象太多
dnp3,dsEdit.dnp3.controlStatus.notAuthorized,Not authorized,Not authorized,未經授權
dnp3,dsEdit.dnp3.controlStatus.automationInhibit,Automation inhibited,Automation inhibited,自動化被抑制
dnp3,dsEdit.dnp3.controlStatus.processingLimited,Station processing limited,Station processing limited,電台處理有限公司
dnp3,dsEdit.dnp3.controlStatus.outOfRange,Out of range,Out of range,超出範圍
dnp3,dsEdit.dnp3.controlStatus.notParticipating,Will not perform,Will not perform,不會執行
egauge,egauge.desc,eGauge Data Source,eGauge Data Source,EGAUGE資料來源
egauge,dsEdit.egauge,eGauge,eGauge,EGAUGE
egauge,dsEdit.egaugePoint,eGauge Data Point,eGauge Data Point,EGAUGE資料點
egauge,egauge.connDesc,URI: {0},URI: {0},URI：{0}
egauge,dsEdit.egauge.uri,URI,URI,Uri
egauge,dsEdit.egauge.historyPeriods,History Period,History Period,歷史時期
egauge,dsEdit.egauge.retries,Retries,Retries,重試
egauge,dsEdit.egauge.timeoutSeconds,Timeout Seconds,Timeout Seconds,逾時秒
egauge,dsEdit.egauge.tot,Totaling Registers,Totaling Registers,總寄存器
egauge,dsEdit.egauge.noTeam,No Team Registers,No Team Registers,沒有團隊記錄
egauge,dsEdit.egauge.teamstat,Team Status,Team Status,團隊身份
egauge,dsEdit.egauge.inst,Instantaneous Readings,Instantaneous Readings,瞬時讀數
egauge,dsEdit.egauge.createPoints,Create Missing Points,Create Missing Points,建立缺失點
egauge,dsEdit.egauge.configurationCount,Configuration Counter,Configuration Counter,配置計數器
egauge,dsEdit.egauge.plConfigDesc,Name: {0},Name: {0},名稱：{0}
egauge,dsEdit.egauge.queryHistory,Query History,Query History,查詢歷史記錄
egauge,dsEdit.egauge.convertToKwh,Convert to kWh,Convert to kWh,轉換為kwh
egauge,dsEdit.egauge.interpolateInstantaneous,Interpolate Instantaneous,Interpolate Instantaneous,插入瞬時
egauge,dsEdit.egauge.readBufferSizeMB,History Buffer Size (MB),History Buffer Size (MB),歷史緩衝尺寸（MB）
egauge,dsEdit.egauge.immediateReadBufferSizeMB,Buffer (MB),Buffer (MB),緩衝區（MB）
egauge,dsEdit.egauge.registerName,Register Name,Register Name,登記名稱
egauge,dsEdit.egauge.totallingRegister,Totaling Register,Totaling Register,總寄存器
egauge,dsEdit.egauge.registerType,Register Type,Register Type,註冊類型
egauge,dsEdit.egauge.cumulative,Cumulative,Cumulative,累積
egauge,dsEdit.egauge.instantaneous,Instantaneous,Instantaneous,瞬間
egauge,dsEdit.egauge.query,Query,Query,詢問
egauge,dsEdit.egauge.sequentialQuery,Sequential Query,Sequential Query,順序查詢
egauge,dsEdit.egauge.querying,Querying...,Querying...,查詢...
egauge,dsEdit.egauge.mustEnable,Data Source must be enabled for history querying,Data Source must be enabled for history querying,必須啟用資料來源以進行歷史記錄查詢
egauge,dsEdit.egauge.historyParsed,Parsed {0} rows of historical data,Parsed {0} rows of historical data,解析{0}歷史資料行
egauge,dsEdit.egauge.multiplier,Multiplier,Multiplier,乘數
egauge,dsEdit.egauge.offset,Offset,Offset,抵消
egauge,dsEdit.egauge.historyPeriod,History Begin,History Begin,歷史開始
egauge,dsEdit.egauge.historyPeriodEnd,Relative End,Relative End,相對端
egauge,egauge.event.error,Error - {0},Error - {0},錯誤 -  {0}
egauge,egauge.event.retrievalFailure,Failure to retrieve data,Failure to retrieve data,無法檢索資料
egauge,egauge.event.historyGap,Gap in point history detected,Gap in point history detected,檢測到點歷史的差距
egauge,egauge.event.teamCommunicationFailure,Team Communication Disruption,Team Communication Disruption,團隊溝通中斷
egauge,egauge.event.configuration,Configuration Change,Configuration Change,配置更改
egauge,egauge.event.badResponse,"Bad response: status code {1}, from uri {0}","Bad response: status code {1}, from uri {0}",不良響應：狀態代碼{1}，來自uri {0}
egauge,egauge.event.parseError,Error parsing number: {0},Error parsing number: {0},錯誤解析號：{0}
egauge,egauge.event.parseMetaError,Error parsing message information in history query.,Error parsing message information in history query.,錯誤解析消息資訊在歷史記錄查詢中。
egauge,egauge.event.parseErrorBuffer,"History Query Parsing error, is the buffer large enough?","History Query Parsing error, is the buffer large enough?",歷史查詢解析錯誤，緩衝區足夠大嗎？
egauge,egauge.event.parseErrorEvent,Parsing Error,Parsing Error,解析錯誤
egauge,egauge.event.licenseRestriction,License Restriction Enforced,License Restriction Enforced,執行許可限制
egauge,egauge.event.jaxbError,Error unmarshalling data stream. Does your egauge allow v1 formatting?,Error unmarshalling data stream. Does your egauge allow v1 formatting?,錯誤刪除資料流。您的EGAUGE是否允許V1格式化？
egauge,egauge.validate.multiplierCannotBeZero,Cannot use a zero multiplier.,Cannot use a zero multiplier.,不能使用零乘數。
egauge,egauge.dox.egaugeDS,eGauge Data Source,eGauge Data Source,EGAUGE資料來源
