key,english,zh_value,reason
users.sessionExpirationOverride,Override session expiration,Override session expiration,same_as_english
users.sessionExpirationPeriod,Session expiration,Session expiration,same_as_english
users.sessionExpirationPeriodUnit,Session expiration unit,Session expiration unit,same_as_english
users.publicRegistration.systemSetting,Enable public user registration,Enable public user registration,same_as_english
users.publicRegistration.disabled,Public user registration is disabled,Public user registration is disabled,same_as_english
users.emailAddressInUse,Email address is already in use by ''{0}'',Email address is already in use by ''{0}'',same_as_english
chartRenderer.flipbook,Flipbook,Flipbook,same_as_english
textRenderer.multistate,Multistate,Multistate,same_as_english
textRenderer.plain,Plain,Plain,same_as_english
event.eventsFor,Events for {0},Events for {0},same_as_english
event.system.maxAlarmChanged,Maximum alarm level changed,Maximum alarm level changed,same_as_english
event.system.setPoint,Set point event handler failure,Set point event handler failure,same_as_english
event.system.setPointFailureName,Set point handler {0},Set point handler {0},same_as_english
event.audit.mailingList,Mailing list,Mailing list,same_as_english
event.audit.changedProperty,"<br/>&nbsp;&nbsp;&nbsp;&nbsp;{0}: ""{1}"" to ""{2}""","<br/>&nbsp;&nbsp;&nbsp;&nbsp;{0}: ""{1}"" to ""{2}""",same_as_english
event.audit.property,"<br/>&nbsp;&nbsp;&nbsp;&nbsp;{0}=""{1}""","<br/>&nbsp;&nbsp;&nbsp;&nbsp;{0}=""{1}""",same_as_english
event.audit.added,"User ""{0}"" created {1} with id {2}.","User ""{0}"" created {1} with id {2}.",same_as_english
event.audit.changed,"User ""{0}"" changed {1} with id {2}.","User ""{0}"" changed {1} with id {2}.",same_as_english
event.audit.deleted,"User ""{0}"" deleted {1} with id {2}.","User ""{0}"" deleted {1} with id {2}.",same_as_english
event.audit.toggled,"User ""{0}"" toggled {1} to enabled: {2}.","User ""{0}"" toggled {1} to enabled: {2}.",same_as_english
event.audit.extended.added,"User ""{0}"" created {1} - {2} with xid {3}.","User ""{0}"" created {1} - {2} with xid {3}.",same_as_english
event.audit.propertyList.0,,,empty
event.audit.propertyList.1,{0},{0},same_as_english
event.audit.propertyList.2,{0}{1},{0}{1},same_as_english
event.audit.propertyList.3,{0}{1}{2},{0}{1}{2},same_as_english
event.audit.propertyList.4,{0}{1}{2}{3},{0}{1}{2}{3},same_as_english
event.audit.propertyList.5,{0}{1}{2}{3}{4},{0}{1}{2}{3}{4},same_as_english
event.audit.propertyList.6,{0}{1}{2}{3}{4}{5},{0}{1}{2}{3}{4}{5},same_as_english
event.audit.propertyList.7,{0}{1}{2}{3}{4}{5}{6},{0}{1}{2}{3}{4}{5}{6},same_as_english
event.audit.propertyList.8,{0}{1}{2}{3}{4}{5}{6}{7},{0}{1}{2}{3}{4}{5}{6}{7},same_as_english
event.audit.propertyList.9,{0}{1}{2}{3}{4}{5}{6}{7}{8},{0}{1}{2}{3}{4}{5}{6}{7}{8},same_as_english
event.audit.propertyList.10,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9},same_as_english
event.audit.propertyList.11,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10},same_as_english
event.audit.propertyList.12,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11},same_as_english
event.audit.propertyList.13,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12},same_as_english
event.audit.propertyList.14,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13},same_as_english
event.audit.propertyList.15,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14},same_as_english
event.audit.propertyList.16,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15},same_as_english
event.audit.propertyList.17,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16},same_as_english
event.audit.propertyList.18,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17},same_as_english
event.audit.propertyList.19,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18},same_as_english
event.audit.propertyList.20,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19},same_as_english
event.audit.propertyList.21,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20},same_as_english
event.audit.propertyList.22,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20}{21},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20}{21},same_as_english
event.audit.propertyList.23,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20}{21}{22},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20}{21}{22},same_as_english
event.audit.propertyList.24,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20}{21}{22}{23},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20}{21}{22}{23},same_as_english
event.audit.propertyList.25,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20}{21}{22}{23}{24},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20}{21}{22}{23}{24},same_as_english
event.audit.propertyList.26,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20}{21}{22}{23}{24}{25},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20}{21}{22}{23}{24}{25},same_as_english
event.audit.propertyList.27,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20}{21}{22}{23}{24}{25}{26},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20}{21}{22}{23}{24}{25}{26},same_as_english
event.audit.propertyList.28,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20}{21}{22}{23}{24}{25}{26}{27},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20}{21}{22}{23}{24}{25}{26}{27},same_as_english
event.audit.propertyList.29,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20}{21}{22}{23}{24}{25}{26}{27}{28},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20}{21}{22}{23}{24}{25}{26}{27}{28},same_as_english
event.audit.propertyList.30,{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20}{21}{22}{23}{24}{25}{26}{27}{28}{29},{0}{1}{2}{3}{4}{5}{6}{7}{8}{9}{10}{11}{12}{13}{14}{15}{16}{17}{18}{19}{20}{21}{22}{23}{24}{25}{26}{27}{28}{29},same_as_english
event.audit.recip.mailingList,mailing list ''{0}'',mailing list ''{0}'',same_as_english
event.audit.recip.list.0,,,empty
event.audit.recip.list.1,{0},{0},same_as_english
event.audit.recip.list.2,"{0}, {1}","{0}, {1}",same_as_english
event.audit.recip.list.3,"{0}, {1}, {2}","{0}, {1}, {2}",same_as_english
event.audit.recip.list.4,"{0}, {1}, {2}, {3}","{0}, {1}, {2}, {3}",same_as_english
event.audit.recip.list.5,"{0}, {1}, {2}, {3}, {4}","{0}, {1}, {2}, {3}, {4}",same_as_english
event.audit.recip.list.6,"{0}, {1}, {2}, {3}, {4}, {5}","{0}, {1}, {2}, {3}, {4}, {5}",same_as_english
event.audit.recip.list.7,"{0}, {1}, {2}, {3}, {4}, {5}, {6}","{0}, {1}, {2}, {3}, {4}, {5}, {6}",same_as_english
event.audit.recip.list.8,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}",same_as_english
event.audit.recip.list.9,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}",same_as_english
event.audit.recip.list.10,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}",same_as_english
event.audit.recip.list.11,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}",same_as_english
event.audit.recip.list.12,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}",same_as_english
event.audit.recip.list.13,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}",same_as_english
event.audit.recip.list.14,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}",same_as_english
event.audit.recip.list.15,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}",same_as_english
event.audit.recip.list.16,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}",same_as_english
event.audit.recip.list.17,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}",same_as_english
event.audit.recip.list.18,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}",same_as_english
event.audit.recip.list.19,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}",same_as_english
event.audit.recip.list.20,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}",same_as_english
event.audit.recip.list.21,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}",same_as_english
event.audit.recip.list.22,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}",same_as_english
event.audit.recip.list.23,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}, {22}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}, {22}",same_as_english
event.audit.recip.list.24,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}, {22}, {23}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}, {22}, {23}",same_as_english
event.audit.recip.list.25,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}, {22}, {23}, {24}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}, {22}, {23}, {24}",same_as_english
event.audit.recip.list.26,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}, {22}, {23}, {24}, {25}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}, {22}, {23}, {24}, {25}",same_as_english
event.audit.recip.list.27,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}, {22}, {23}, {24}, {25}, {26}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}, {22}, {23}, {24}, {25}, {26}",same_as_english
event.audit.recip.list.28,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}, {22}, {23}, {24}, {25}, {26}, {27}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}, {22}, {23}, {24}, {25}, {26}, {27}",same_as_english
event.audit.recip.list.29,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}, {22}, {23}, {24}, {25}, {26}, {27}, {28}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}, {22}, {23}, {24}, {25}, {26}, {27}, {28}",same_as_english
event.audit.recip.list.30,"{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}, {22}, {23}, {24}, {25}, {26}, {27}, {28}, {29}","{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}, {22}, {23}, {24}, {25}, {26}, {27}, {28}, {29}",same_as_english
event.pollAborted,"Data source with xid: {0} and name: {1} aborted a poll, check its settings.","Data source with xid: {0} and name: {1} aborted a poll, check its settings.",same_as_english
event.exception2,{0}: {1},{0}: {1},same_as_english
event.initializationError,Initialization error: {0},Initialization error: {0},same_as_english
event.setPointFailed,Set point failed: {0},Set point failed: {0},same_as_english
event.setPointFailed.alias,Set point ''{0}'' failed: {1},Set point ''{0}'' failed: {1},same_as_english
event.relinquishFailed,Relinquish failed: {0},Relinquish failed: {0},same_as_english
event.readPointFailed,Read point failed: {0},Read point failed: {0},same_as_english
event.pollingError,Error during polling,Error during polling,same_as_english
event.pollingError2,Error during polling: {0},Error during polling: {0},same_as_english
event.email.failure,"Failed to send email titled ""{0}"" to ""{1}"". Message: ""{2}""","Failed to send email titled ""{0}"" to ""{1}"". Message: ""{2}""",same_as_english
event.login,User {0} logged in from remote address {1},User {0} logged in from remote address {1},same_as_english
event.failedLogin,Failed login attempt on user {0} from remote address {1},Failed login attempt on user {0} from remote address {1},same_as_english
event.newUserRegistered,New user registered with username {0} and email {1},New user registered with username {0} and email {1},same_as_english
event.alarmMaxIncreased,Maximum alarm level has increased from {0} to {1},Maximum alarm level has increased from {0} to {1},same_as_english
event.alarmMaxDecreased,Maximum alarm level has decreased from {0} to {1},Maximum alarm level has decreased from {0} to {1},same_as_english
event.detector.periodState,{0} has been {1} for more than {2},{0} has been {1} for more than {2},same_as_english
event.detector.state,{0} is {1},{0} is {1},same_as_english
event.detector.change,{0} has changed state {1} times within {2},{0} has changed state {1} times within {2},same_as_english
event.detector.noChange,{0} has not changed for over {1},{0} has not changed for over {1},same_as_english
event.detector.noUpdate,{0} has not been updated for over {1},{0} has not been updated for over {1},same_as_english
event.detector.changeCount,"{0} has changed from ""{1}"" to ""{2}""","{0} has changed from ""{1}"" to ""{2}""",same_as_english
event.detector.changeCountUser,"{0} was changed from ""{1}"" to ""{2}"" by user ""{3}""","{0} was changed from ""{1}"" to ""{2}"" by user ""{3}""",same_as_english
event.detector.changeCountAnnotation,"{0} has changed from ""{1}"" to ""{2}"" with annotation ""{3}""","{0} has changed from ""{1}"" to ""{2}"" with annotation ""{3}""",same_as_english
event.detector.posCusum,{0} CUSUM has exceeded {1},{0} CUSUM has exceeded {1},same_as_english
event.detector.posCusumPeriod,{0} CUSUM has exceeded {1} for more than {2},{0} CUSUM has exceeded {1} for more than {2},same_as_english
event.detector.negCusum,{0} CUSUM is below {1},{0} CUSUM is below {1},same_as_english
event.detector.negCusumPeriod,{0} CUSUM has been below {1} for more than {2},{0} CUSUM has been below {1} for more than {2},same_as_english
event.process.failure,"Failed to start process with command ""{0}"". Message: ""{1}""","Failed to start process with command ""{0}"". Message: ""{1}""",same_as_english
event.viconics.messagingException,Messaging error: {0},Messaging error: {0},same_as_english
event.viconics.networkOffline,Network is offline,Network is offline,same_as_english
event.viconics.deviceOffline,Device is offline: {0},Device is offline: {0},same_as_english
event.viconics.duplicateCommException,Duplicate comm address detected: {0},Duplicate comm address detected: {0},same_as_english
event.detector.rangeOutside,{0} is outside of {1} and {2},{0} is outside of {1} and {2},same_as_english
event.detector.rangeOutsidePeriod,{0} has been outside of {1} and {2} for more than {3},{0} has been outside of {1} and {2} for more than {3},same_as_english
event.detector.smoothness,{0} smoothness is below {1},{0} smoothness is below {1},same_as_english
event.detector.smoothnessPeriod,{0} smoothness has been below {1} for more than {2},{0} smoothness has been below {1} for more than {2},same_as_english
event.detector.analogChangePeriod,{0} has changed {1} or more in {2},{0} has changed {1} or more in {2},same_as_english
event.detector.analogIncreasePeriod,{0} has increased {1} or more in {2},{0} has increased {1} or more in {2},same_as_english
event.detector.analogDecreasePeriod,{0} has decreased {1} or more in {2},{0} has decreased {1} or more in {2},same_as_english
event.detector.analogChange,{0} has changed {1} or more,{0} has changed {1} or more,same_as_english
event.detector.analogIncrease,{0} has increased {1} or more,{0} has increased {1} or more,same_as_english
event.detector.analogDecrease,{0} has decreased {1} or more,{0} has decreased {1} or more,same_as_english
event.detector.rocInstantaneous,{0} has a rate of change {1} ,{0} has a rate of change {1} ,same_as_english
event.detector.rocInstantaneousDuration,{0} has a rate of change {1} for more than {2},{0} has a rate of change {1} for more than {2},same_as_english
event.detector.rocAverage,{0} has an average rate of change {1} over the last {2},{0} has an average rate of change {1} over the last {2},same_as_english
event.detector.rocAverageDuration,{0} has an average rate of change {1} over the last {2} for more than {3},{0} has an average rate of change {1} over the last {2} for more than {3},same_as_english
event.detectorVo.changeCount,When state changes {0} times within {1},When state changes {0} times within {1},same_as_english
event.detectorVo.noChange,When state does not change for {0},When state does not change for {0},same_as_english
event.detectorVo.noUpdate,When state is not updated for {0},When state is not updated for {0},same_as_english
event.detectorVo.posCusum,When CUSUM is higher than {0},When CUSUM is higher than {0},same_as_english
event.detectorVo.posCusumPeriod,When CUSUM is higher than {0} for {1},When CUSUM is higher than {0} for {1},same_as_english
event.detectorVo.negCusum,When CUSUM is lower than {0},When CUSUM is lower than {0},same_as_english
event.detectorVo.negCusumPeriod,When CUSUM is lower than {0} for {1},When CUSUM is lower than {0} for {1},same_as_english
event.detectorVo.range,When value is between {0} and {1},When value is between {0} and {1},same_as_english
event.detectorVo.rangePeriod,When value is between {0} and {1} for {2},When value is between {0} and {1} for {2},same_as_english
event.detectorVo.rangeOutside,When value is outside of {0} and {1},When value is outside of {0} and {1},same_as_english
event.detectorVo.rangeOutsidePeriod,When value is outside of {0} and {1} for {2},When value is outside of {0} and {1} for {2},same_as_english
event.detectorVo.smoothness,When smoothness is lower than {0},When smoothness is lower than {0},same_as_english
event.detectorVo.smoothnessPeriod,When smoothness is lower than {0} for {1},When smoothness is lower than {0} for {1},same_as_english
event.detectorVo.analogChangePeriod,When changed {0} or more in {1},When changed {1} or more in {2},no_cjk
event.detectorVo.analogIncreasePeriod,When increased {0} or more in {1},When increased {1} or more in {2},no_cjk
event.detectorVo.analogDecreasePeriod,When decreased {0} or more in {1},When decreased {1} or more in {2},no_cjk
event.detectorVo.analogChange,When changed {0} or more,When changed {0} or more,same_as_english
event.detectorVo.analogIncrease,When increased {0} or more,When increased {0} or more,same_as_english
event.detectorVo.analogDecrease,When decreased {0} or more,When decreased {0} or more,same_as_english
event.detectorVo.rocInstantaneous,When rate of change is {0} ,When rate of change is {0} ,same_as_english
event.detectorVo.rocInstantaneousDuration,When rate of change is {0} for more than {1},When rate of change is {0} for more than {1},same_as_english
event.detectorVo.rocAverage,When average rate of change is {0} over the last {1},When average rate of change is {0} over the last {1},same_as_english
event.detectorVo.rocAverageDuration,When average rate of change is {0} over the last {1} for more than {2},When average rate of change is {0} over the last {1} for more than {2},same_as_english
event.detectorVo.roc.greaterThan,greater than {0} {1},greater than {0} {1},same_as_english
event.detectorVo.roc.greaterThanEqualTo,greater than or equal to {0} {1},greater than or equal to {0} {1},same_as_english
event.detectorVo.roc.lessThan,less than {0} {1},less than {0} {1},same_as_english
event.detectorVo.roc.lessThanEqualTo,less than or equal to {0} {1},less than or equal to {0} {1},same_as_english
event.setPoint.targetPointMissing,target point is missing or disabled,target point is missing or disabled,same_as_english
event.setPoint.targetNotSettable,target point is not settable,target point is not settable,same_as_english
event.setPoint.activePointMissing,active source point is missing or disabled,active source point is missing or disabled,same_as_english
event.setPoint.activePointValue,active source point has no value,active source point has no value,same_as_english
event.setPoint.activePointDataType,active source point data type is different than the target point,active source point data type is different than the target point,same_as_english
event.setPoint.inactivePointMissing,inactive source point is missing or disabled,inactive source point is missing or disabled,same_as_english
event.setPoint.inactivePointValue,inactive source point has no value,inactive source point has no value,same_as_english
event.setPoint.inactivePointDataType,inactive source point data type is different than the target point,inactive source point data type is different than the target point,same_as_english
event.setPoint.recursionFailure,The set point was not performed due to a recursion overflow. There may be an infinite recursion loop in your configuration.,The set point was not performed due to a recursion overflow. There may be an infinite recursion loop in your configuration.,same_as_english
event.schedule.onceAt,At {0},At {0},same_as_english
event.schedule.onceUntil,From {0} until {1},From {0} until {1},same_as_english
event.schedule.hourlyAt,Every hour at {0},Every hour at {0},same_as_english
event.schedule.hoursUntil,Every hour at {0} until {1},Every hour at {0} until {1},same_as_english
event.schedule.dailyAt,Every day at {0},Every day at {0},same_as_english
event.schedule.dailyUntil,Every day at {0} until {1},Every day at {0} until {1},same_as_english
event.schedule.weeklyAt,Every week on {0} at {1},Every week on {0} at {1},same_as_english
event.schedule.weeklyUntil,Every week on {0} at {1} until {2} at {3},Every week on {0} at {1} until {2} at {3},same_as_english
event.schedule.monthlyAt,Every month on the {0} at {1},Every month on the {0} at {1},same_as_english
event.schedule.monthlyUntil,Every month on the {0} at {1} until the {2} at {3},Every month on the {0} at {1} until the {2} at {3},same_as_english
event.schedule.yearlyAt,Every year on the {0} of {1} at {2},Every year on the {0} of {1} at {2},same_as_english
event.schedule.yearlyUntil,Every year on the {0} of {1} at {2} until the {3} of {4} at {5},Every year on the {0} of {1} at {2} until the {3} of {4} at {5},same_as_english
event.schedule.cronAt,At cron {0},At cron {0},same_as_english
event.schedule.cronUntil,At cron {0} until {1},At cron {0} until {1},same_as_english
event.publish.invalidResponse,Invalid response code from host: {0},Invalid response code from host: {0},same_as_english
event.publish.queueSize,The publisher queue has exceeded {0} entries,The publisher queue has exceeded {0} entries,same_as_english
event.pb.resultWarnings,Result warnings,Result warnings,same_as_english
event.pb.queueSize,Queue size warning,Queue size warning,same_as_english
event.ds,''{0}'': {1},''{0}'': {1},same_as_english
event.ds.initialization,Initialization exception,Initialization exception,same_as_english
event.ds.message,Message exception,Message exception,same_as_english
event.ds.device,Device exception,Device exception,same_as_english
event.ds.network,Network exception,Network exception,same_as_english
event.ds.duplicateComm,Duplicate comm address detected,Duplicate comm address detected,same_as_english
event.ds.dataSource,Data source exception,Data source exception,same_as_english
event.ds.dataRetrieval,Data retrieval failure,Data retrieval failure,same_as_english
event.ds.fileSave,File save exception,File save exception,same_as_english
event.ds.scriptError,Script error,Script error,same_as_english
event.ds.resultType,Result type error,Result type error,same_as_english
event.ds.dataType,Data type error,Data type error,same_as_english
event.ds.emailInbox,Error accessing inbox,Error accessing inbox,same_as_english
event.ds.emailRead,Error reading message,Error reading message,same_as_english
event.ds.emailParse,Error parsing email data,Error parsing email data,same_as_english
event.ds.pdu,PDU exception,PDU exception,same_as_english
event.ds.heartbeat,Sensor heartbeat,Sensor heartbeat,same_as_english
event.ds.unknownSensor,Unknown sensor,Unknown sensor,same_as_english
event.ds.statement,Statement exception,Statement exception,same_as_english
event.ds.logError,Log error,Log error,same_as_english
event.ds.pollAborted,Poll aborted,Poll aborted,same_as_english
